gender (m=1 f=0),NE,MW,S,W,MD,Opioid,NonOpioid,over
1,0,0,1,0,1,17,12,1
0,0,0,1,0,1,362,1056,1
0,1,0,0,0,1,0,289,0
1,0,0,0,1,1,559,1198,1
1,0,0,0,1,1,66,113,1
1,1,0,0,0,1,25,0,1
1,1,0,0,0,1,90,2821,1
0,1,0,0,0,0,0,198,0
1,0,0,1,0,1,0,144,0
0,0,1,0,0,1,64,2184,1
0,0,0,0,0,1,71,240,1
1,0,0,1,0,1,17,0,1
1,0,0,0,1,1,247,3213,1
1,0,1,0,0,1,0,47,0
0,0,0,1,0,1,155,579,1
1,0,1,0,0,1,25,0,1
0,1,0,0,0,1,0,14,0
1,1,0,0,0,1,0,35,0
1,0,0,1,0,1,41,102,1
1,0,1,0,0,1,14,0,1
1,0,0,0,1,1,11,0,1
0,0,0,1,0,1,139,3366,1
0,0,1,0,0,0,0,200,0
0,0,1,0,0,0,48,107,1
1,1,0,0,0,0,0,625,0
0,0,0,1,0,0,0,120,0
1,1,0,0,0,0,0,144,0
1,1,0,0,0,0,0,19,1
0,0,0,1,0,1,20,383,1
0,0,0,0,1,1,0,14,0
0,0,0,0,1,1,31,264,1
0,0,1,0,0,0,587,90,1
1,0,0,1,0,1,0,72,0
1,0,0,1,0,1,0,64,1
0,0,0,1,0,1,0,1180,1
1,0,0,0,1,1,0,12,0
0,0,0,0,1,0,0,3717,0
1,0,1,0,0,1,53,0,1
0,0,0,0,1,0,104,2312,1
1,0,1,0,0,1,256,5305,1
0,0,1,0,0,0,0,192,0
0,0,0,0,1,0,0,60,0
1,1,0,0,0,0,0,48,0
1,0,0,0,1,1,0,22,0
0,0,0,1,0,0,161,1247,1
1,1,0,0,0,1,0,27,0
0,0,1,0,0,1,25,341,1
1,1,0,0,0,1,15,40,1
0,0,0,0,1,0,0,103,0
1,0,1,0,0,1,0,90,0
0,1,0,0,0,0,33,0,1
0,0,0,1,0,1,0,66,0
1,0,0,1,0,1,0,1462,0
1,0,0,1,0,1,132,1090,1
1,0,1,0,0,1,0,1037,0
0,1,0,0,0,0,78,0,1
1,0,1,0,0,1,0,33,1
0,0,0,0,0,1,0,128,0
1,0,1,0,0,1,0,1101,0
0,0,1,0,0,1,66,516,1
0,1,0,0,0,1,0,129,0
0,1,0,0,0,0,19,633,1
1,0,0,1,0,1,20,0,1
0,0,1,0,0,1,0,44,0
1,0,0,0,1,1,11,587,1
1,0,1,0,0,1,0,18,0
0,0,0,1,0,1,0,12,0
1,0,0,1,0,0,49,80,1
1,0,1,0,0,1,27,37,1
0,0,0,1,0,0,14,246,1
0,0,1,0,0,0,56,167,1
1,0,0,0,1,1,904,7669,1
1,0,0,1,0,1,0,44,0
0,0,1,0,0,1,0,43,0
1,0,1,0,0,1,36,879,1
1,1,0,0,0,0,15,0,1
0,0,1,0,0,0,20,0,1
1,0,0,1,0,1,0,3031,0
1,0,1,0,0,0,0,59,0
1,0,1,0,0,1,0,47,0
1,1,0,0,0,1,54,4137,1
0,0,0,0,1,1,30,107,1
0,0,0,1,0,0,193,5655,1
1,1,0,0,0,1,13,0,1
0,0,0,1,0,1,48,824,1
1,1,0,0,0,1,0,116,0
1,0,0,1,0,1,86,64,1
0,1,0,0,0,0,11,0,1
1,1,0,0,0,1,0,553,0
1,1,0,0,0,1,251,8345,1
1,0,0,1,0,1,44,34,1
1,0,0,1,0,1,38,12,1
1,0,0,1,0,1,927,425,1
0,0,0,1,0,1,0,39,0
1,1,0,0,0,1,149,148,1
1,0,1,0,0,1,0,12,0
1,0,0,0,1,1,833,10147,1
0,0,0,1,0,1,144,4817,1
1,0,1,0,0,1,13,24,1
1,0,0,0,1,1,342,9269,1
1,1,0,0,0,1,1193,1284,1
1,1,0,0,0,1,0,71,0
1,0,0,1,0,1,0,50,0
1,1,0,0,0,1,0,393,0
0,1,0,0,0,0,0,115,0
1,0,0,0,1,1,594,5307,1
1,0,1,0,0,1,1190,5424,1
1,0,1,0,0,1,263,4749,1
0,0,0,0,1,1,34,68,1
1,0,0,1,0,1,103,156,1
1,0,0,0,1,1,0,1476,0
0,0,1,0,0,1,104,3127,1
1,0,0,1,0,1,0,508,0
0,0,0,1,0,1,1134,288,1
1,1,0,0,0,1,0,48,0
0,0,0,0,1,1,0,392,1
0,0,0,0,1,0,0,97,0
1,0,0,0,1,1,0,640,0
1,0,0,1,0,1,72,86,1
1,0,0,1,0,1,0,209,0
0,1,0,0,0,0,0,87,0
1,0,0,1,0,1,0,951,0
0,0,1,0,0,0,0,11,0
1,0,1,0,0,1,82,309,1
1,0,1,0,0,1,36,15,1
0,1,0,0,0,1,0,178,1
0,0,0,1,0,0,0,1280,0
1,0,1,0,0,1,0,17,0
1,0,0,0,0,1,0,239,0
1,1,0,0,0,1,0,15,0
1,0,0,0,1,1,48,138,1
1,0,0,1,0,1,0,20,0
0,0,0,1,0,0,0,135,0
1,1,0,0,0,0,0,205,0
1,0,1,0,0,1,0,11,0
1,0,0,1,0,1,276,1820,1
1,1,0,0,0,1,0,22,0
1,1,0,0,0,1,0,1703,0
0,1,0,0,0,1,0,1431,0
1,1,0,0,0,1,0,11,0
1,0,0,0,1,1,18,59,1
1,0,0,1,0,1,109,1546,1
1,0,0,1,0,1,49,19,1
1,0,1,0,0,1,172,3000,1
0,0,0,1,0,1,0,3974,0
0,0,0,1,0,1,0,46,0
1,0,0,0,1,1,12,314,1
1,0,1,0,0,0,0,11,0
0,0,0,1,0,1,0,504,0
1,0,0,1,0,1,0,1232,0
1,0,1,0,0,1,366,9908,1
1,0,1,0,0,1,0,60,0
1,1,0,0,0,1,0,24,0
1,0,1,0,0,1,220,5388,1
1,0,0,1,0,1,18,253,1
1,0,1,0,0,1,0,35,0
